group,feature,smd_before,smd_after_overlap,abs_smd_before,abs_smd_after_overlap
Global,spo2_delta,-0.08194190345761632,-0.013710658091898045,0.08194190345761632,0.013710658091898045
Global,spo2_slope,-0.05615962421622557,-0.01853242994869734,0.05615962421622557,0.01853242994869734
Global,sofa_mean,-0.1022314517486989,-0.1118532639485576,0.1022314517486989,0.1118532639485576
Global,sofa_median,-0.07808435779238805,-0.10233513678918893,0.07808435779238805,0.10233513678918893
Global,sofa_min,-0.31492526980539354,-0.12248665480820711,0.31492526980539354,0.12248665480820711
Global,sofa_max,0.02162140089280961,-0.062256650159799296,0.02162140089280961,0.062256650159799296
Global,sofa_std,0.3581346792485548,0.054465592249554044,0.3581346792485548,0.054465592249554044
Global,sofa_first,-0.23543709676571464,-0.06791105012245495,0.23543709676571464,0.06791105012245495
Global,sofa_last,-0.04744883775279927,-0.0735083235074778,0.04744883775279927,0.0735083235074778
Global,sofa_delta,0.22100941538689983,-0.010705378473437136,0.22100941538689983,0.010705378473437136
Global,sofa_slope,-0.16881865483279948,-0.11212777135717689,0.16881865483279948,0.11212777135717689
Global,any_vasopressor_mean,0.012070108603996817,-0.10964778714678468,0.012070108603996817,0.10964778714678468
Global,any_vasopressor_median,0.005820168051805535,-0.011997282545634381,0.005820168051805535,0.011997282545634381
Global,any_vasopressor_min,0.0,0.0,0.0,0.0
Global,any_vasopressor_max,0.23213868567476822,0.011253674664020146,0.23213868567476822,0.011253674664020146
Global,any_vasopressor_std,0.10950600900968317,-0.07383389079790673,0.10950600900968317,0.07383389079790673
Global,any_vasopressor_first,0.00862438735888796,-0.01393473877626283,0.00862438735888796,0.01393473877626283
Global,any_vasopressor_last,0.16408287960019086,0.07783472011788937,0.16408287960019086,0.07783472011788937
Global,any_vasopressor_delta,0.09217850126710926,0.059569666206483574,0.09217850126710926,0.059569666206483574
Global,any_vasopressor_slope,-0.04269224587060867,-0.02376371533192744,0.04269224587060867,0.02376371533192744
Global,ventilation_on_mean,-0.02037308803187579,-0.03098697668678497,0.02037308803187579,0.03098697668678497
Global,ventilation_on_median,-0.0825823573944099,-0.0546682031689913,0.0825823573944099,0.0546682031689913
Global,ventilation_on_min,-0.2592121380045081,-0.04223343262330698,0.2592121380045081,0.04223343262330698
Global,ventilation_on_max,0.23208202647311327,-0.0022267619810021635,0.23208202647311327,0.0022267619810021635
Global,ventilation_on_std,0.3910651750037128,0.06786327881505451,0.3910651750037128,0.06786327881505451
Global,ventilation_on_first,-0.14140624534587926,-0.003931491704466466,0.14140624534587926,0.003931491704466466
Global,ventilation_on_last,-0.07124458306087889,-0.040194145925814655,0.07124458306087889,0.040194145925814655
Global,ventilation_on_delta,0.05211256820916419,-0.03381814249167799,0.05211256820916419,0.03381814249167799
Global,ventilation_on_slope,-0.24879642167256197,-0.07847020292714531,0.24879642167256197,0.07847020292714531
B1,age,0.21749908804115822,0.09671614107652154,0.21749908804115822,0.09671614107652154
B1,bmi,-0.16965979062840422,-0.25078564830116495,0.16965979062840422,0.25078564830116495
B1,hemoglobin_mean,0.12137179999449177,-0.04759207680901516,0.12137179999449177,0.04759207680901516
B1,hemoglobin_median,0.10543799101894065,0.007225884468819421,0.10543799101894065,0.007225884468819421
B1,hemoglobin_min,-0.0404019455586817,-0.03515723484086631,0.0404019455586817,0.03515723484086631
B1,hemoglobin_max,0.3785569475344285,-0.1461702581523105,0.3785569475344285,0.1461702581523105
B1,hemoglobin_std,0.3292524125219636,-0.12329080416419286,0.3292524125219636,0.12329080416419286
B1,hemoglobin_first,0.3703347953899516,-0.1279514274244133,0.3703347953899516,0.1279514274244133
B1,hemoglobin_last,-0.04646184893704013,-0.043283797938552915,0.04646184893704013,0.043283797938552915
B1,hemoglobin_delta,-0.43388095102212193,0.11782179196910969,0.43388095102212193,0.11782179196910969
B1,hemoglobin_slope,0.3330986235320877,0.21103934419142206,0.3330986235320877,0.21103934419142206
B1,lactate_mean,0.07258242116110081,-0.06657641060353643,0.07258242116110081,0.06657641060353643
B1,lactate_median,-0.019836106571554515,-0.17116937454535242,0.019836106571554515,0.17116937454535242
B1,lactate_min,0.09774138679434684,0.2635287743663343,0.09774138679434684,0.2635287743663343
B1,lactate_max,0.15838684732347624,-0.015179113922665364,0.15838684732347624,0.015179113922665364
B1,lactate_std,0.0712660511214362,-0.23062268093339477,0.0712660511214362,0.23062268093339477
B1,lactate_first,0.1907048530010399,0.20048689621434646,0.1907048530010399,0.20048689621434646
B1,lactate_last,-0.027862837479603195,-0.25552366989191433,0.027862837479603195,0.25552366989191433
B1,lactate_delta,-0.20504303384482434,-0.38507555764641904,0.20504303384482434,0.38507555764641904
B1,lactate_slope,-0.3170109777415717,-0.3248084650435463,0.3170109777415717,0.3248084650435463
B1,creatinine_mean,-0.047933727187629525,-0.09764786970052113,0.047933727187629525,0.09764786970052113
