Grupo,rule_text,n,treated,controls,aipw_ate
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 74.7707 AND spo2_last <= 97.5,71,21,50,-0.32636640241187714
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 74.7707 AND spo2_last <= 102.375,149,46,103,-0.16411927620459632
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 78.706 AND spo2_last <= 97.5,96,30,66,-0.33835999505081094
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 78.706 AND spo2_last <= 102.375,199,61,138,-0.17979312607562378
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 82.6413 AND spo2_last <= 97.5,105,34,71,-0.38402420284209027
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 82.6413 AND spo2_last <= 102.375,226,69,157,-0.1651353159837925
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 74.7707 AND spo2_last <= 97.5,92,23,69,-0.21836316213767284
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 74.7707 AND spo2_last <= 102.375,183,49,134,-0.06330300643696248
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 78.706 AND spo2_last <= 97.5,121,32,89,-0.2413712651783016
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 78.706 AND spo2_last <= 102.375,243,65,178,-0.08153957295892411
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 82.6413 AND spo2_last <= 97.5,131,36,95,-0.27640161289105336
