covariate,smd_pre,abs_smd_pre,smd_post,abs_smd_post
bilirubin_direct_std,0.0,0.0,0.0,0.0
bilirubin_indirect_delta,0.0,0.0,0.0,0.0
bilirubin_indirect_max,0.0,0.0,0.0,0.0
bilirubin_indirect_mean,0.0,0.0,0.0,0.0
bilirubin_indirect_median,0.0,0.0,0.0,0.0
bilirubin_indirect_min,0.0,0.0,0.0,0.0
bilirubin_indirect_post_mean,0.0,0.0,0.0,0.0
bilirubin_indirect_pre_mean,0.0,0.0,0.0,0.0
bilirubin_indirect_slope,0.0,0.0,0.0,0.0
bilirubin_indirect_std,0.0,0.0,0.0,0.0
bilirubin_neonatal_delta,0.0,0.0,0.0,0.0
bilirubin_neonatal_max,0.0,0.0,0.0,0.0
bilirubin_neonatal_mean,0.0,0.0,0.0,0.0
bilirubin_neonatal_median,0.0,0.0,0.0,0.0
bilirubin_neonatal_min,0.0,0.0,0.0,0.0
bilirubin_neonatal_post_mean,0.0,0.0,0.0,0.0
bilirubin_neonatal_pre_mean,0.0,0.0,0.0,0.0
bilirubin_neonatal_slope,0.0,0.0,0.0,0.0
bilirubin_neonatal_std,0.0,0.0,0.0,0.0
bilirubin_total_delta,0.1817926712100633,0.1817926712100633,0.078539107488057,0.078539107488057
bilirubin_total_max,0.1707647896253623,0.1707647896253623,0.0923806661365606,0.0923806661365606
bilirubin_total_mean,0.1645189966559401,0.1645189966559401,0.0874984523137506,0.0874984523137506
bilirubin_total_median,0.1544561327047956,0.1544561327047956,0.0825356347334566,0.0825356347334566
bilirubin_total_min,0.1168333027428629,0.1168333027428629,0.1065109023259224,0.1065109023259224
bilirubin_total_post_mean,0.2318811115514895,0.2318811115514895,0.1134883649775604,0.1134883649775604
bilirubin_total_pre_mean,0.1645189966559401,0.1645189966559401,0.0874984523137506,0.0874984523137506
bilirubin_total_slope,0.0812642601808192,0.0812642601808192,0.0415142593624456,0.0415142593624456
bilirubin_total_std,0.1227675226558262,0.1227675226558262,0.051924028994277,0.051924028994277
bmi_max,-0.1293207981142601,0.1293207981142601,0.010770073359494,0.010770073359494
bmi_mean,-0.1293207981142606,0.1293207981142606,0.010770073359494,0.010770073359494
bmi_median,-0.1293207981142601,0.1293207981142601,0.010770073359494,0.010770073359494
bmi_min,-0.1293207981142601,0.1293207981142601,0.010770073359494,0.010770073359494
bmi_std,0.0,0.0,0.0,0.0
congestive_heart_failure_max,0.0819019167036046,0.0819019167036046,0.036390273824611,0.036390273824611
congestive_heart_failure_mean,0.0819019167036046,0.0819019167036046,0.036390273824611,0.036390273824611
congestive_heart_failure_median,0.0819019167036046,0.0819019167036046,0.036390273824611,0.036390273824611
congestive_heart_failure_min,0.0819019167036046,0.0819019167036046,0.036390273824611,0.036390273824611
congestive_heart_failure_std,0.0,0.0,0.0,0.0
creatinine_delta,0.1345157931173244,0.1345157931173244,0.010505732585102,0.010505732585102
creatinine_max,0.1608932856943018,0.1608932856943018,0.0500321002830475,0.0500321002830475
creatinine_mean,0.1567333555471014,0.1567333555471014,0.0545402139776625,0.0545402139776625
creatinine_median,0.1269224297973009,0.1269224297973009,0.0376799611444218,0.0376799611444218
creatinine_min,0.2262859640813306,0.2262859640813306,0.1922807078714192,0.1922807078714192
creatinine_post_mean,0.2071786548036455,0.2071786548036455,0.0499092016736275,0.0499092016736275
