level,group,k,cluster,outcome,n_pairs,n_treated,n_control,treated_mean,control_mean,effect,ci95_low,ci95_high
cluster,benefit_apparent,5.0,4.0,rrt_on,3947,3947,1733,0.08132759057512035,0.06333924499619964,0.0179883455789207,0.007600709399543958,0.02926906511274385
cluster,benefit_apparent,5.0,4.0,any_vasopressor,3947,3947,1733,0.671649353939701,0.568533063085888,0.10311629085381302,0.0820749936660755,0.12250443374714973
cluster,benefit_apparent,5.0,4.0,nee_mcgkgmin_max,3947,3947,1733,0.2672105396503674,0.19933113757284013,0.06787940207752723,0.0011677223207499452,0.15967329617430956
cluster,benefit_apparent,5.0,4.0,icu_los_hours,3947,3947,1733,570.7545815387214,420.44918081243134,150.30540072629003,127.15304872899249,176.2428030782873
scan_group,benefit_apparent,5.0,,mortality_anytime,6310,6310,1906,0.36148969889064975,0.47527733755942947,-0.11378763866877971,-0.13090332805071314,-0.09611331220285262
scan_group,benefit_apparent,5.0,,vm_time_hours,5544,5544,1559,133.1024531024531,61.155032467532465,71.94742063492063,67.63021915584415,76.97273230820105
scan_group,benefit_apparent,5.0,,ventilation_hours,6310,6310,1906,77.04171949286847,34.44301373481246,42.598705758056,39.34566494981511,45.98723025620708
scan_group,benefit_apparent,5.0,,rrt_on,6310,6310,1906,0.11505546751188589,0.06481774960380349,0.05023771790808241,0.03929477020602219,0.059829635499207605
scan_group,benefit_apparent,5.0,,any_vasopressor,6310,6310,1906,0.6786053882725832,0.6137876386687797,0.06481774960380349,0.04817749603803487,0.07995641838351822
scan_group,benefit_apparent,5.0,,nee_mcgkgmin_max,6310,6310,1906,0.3198890649762282,0.22292551505546754,0.0969635499207607,0.04576331220285262,0.16186885895404118
scan_group,benefit_apparent,5.0,,icu_los_hours,6310,6310,1906,853.5173005810881,432.6207739038563,420.8965266772319,396.31038860274697,450.0620856444796
scan_group,harm_apparent,5.0,,mortality_anytime,1813,1813,1259,0.46056260341974625,0.3910645339216768,0.0694980694980695,0.03750689464975179,0.09931053502482072
scan_group,harm_apparent,5.0,,vm_time_hours,1171,1171,830,61.767235980643335,57.902903501280946,3.8643324793623677,-2.2843257187588955,9.901798320523763
scan_group,harm_apparent,5.0,,ventilation_hours,1813,1813,1259,31.856223570509282,31.630492737635592,0.22573083287369003,-3.446025234418091,4.103948336091193
scan_group,harm_apparent,5.0,,rrt_on,1813,1813,1259,0.06508549365692223,0.06287920573634859,0.002206287920573635,-0.013789299503585218,0.018753447324875896
scan_group,harm_apparent,5.0,,any_vasopressor,1813,1813,1259,0.2548262548262548,0.5079977937120794,-0.2531715388858246,-0.28188086045228905,-0.22364864864864867
scan_group,harm_apparent,5.0,,nee_mcgkgmin_max,1813,1813,1259,0.08162713734142306,0.14767788196359624,-0.0660507446221732,-0.08895945945945946,-0.04400661886376173
scan_group,harm_apparent,5.0,,icu_los_hours,1813,1813,1259,416.2568946497518,408.88950174664456,7.3673929031071985,-23.343755745541454,34.871943371943345
scan_group,neutral_apparent,5.0,,mortality_anytime,1886,1886,1077,0.3886532343584305,0.3992576882290562,-0.010604453870625663,-0.041357370095440084,0.02042682926829267
scan_group,neutral_apparent,5.0,,vm_time_hours,1519,1519,858,96.63199473337723,53.40490454246215,43.22709019091507,36.46323266403335,50.681789554531484
scan_group,neutral_apparent,5.0,,ventilation_hours,1886,1886,1077,52.75574407917992,28.875265111346767,23.880478967833152,19.50011709084482,28.45828362495581
scan_group,neutral_apparent,5.0,,rrt_on,1886,1886,1077,0.10180275715800637,0.06521739130434782,0.036585365853658534,0.019870095440084837,0.05410922587486742
scan_group,neutral_apparent,5.0,,any_vasopressor,1886,1886,1077,0.5965005302226936,0.5440084835630965,0.05249204665959703,0.020121951219512196,0.083271474019088
scan_group,neutral_apparent,5.0,,nee_mcgkgmin_max,1886,1886,1077,0.25904029692470837,0.1752014846235419,0.08383881230116647,0.0017864528101802825,0.17955090137857901
scan_group,neutral_apparent,5.0,,icu_los_hours,1886,1886,1077,633.3616118769884,396.12318840579707,237.23842347119123,198.84656680805938,273.86146275185575
article_oriented_group,benefit_apparent,5.0,,mortality_anytime,6310,6310,1906,0.36148969889064975,0.47527733755942947,-0.11378763866877971,-0.13090332805071314,-0.09611331220285262
article_oriented_group,benefit_apparent,5.0,,vm_time_hours,5544,5544,1559,133.1024531024531,61.155032467532465,71.94742063492063,67.63021915584415,76.97273230820105
article_oriented_group,benefit_apparent,5.0,,ventilation_hours,6310,6310,1906,77.04171949286847,34.44301373481246,42.598705758056,39.34566494981511,45.98723025620708
article_oriented_group,benefit_apparent,5.0,,rrt_on,6310,6310,1906,0.11505546751188589,0.06481774960380349,0.05023771790808241,0.03929477020602219,0.059829635499207605
article_oriented_group,benefit_apparent,5.0,,any_vasopressor,6310,6310,1906,0.6786053882725832,0.6137876386687797,0.06481774960380349,0.04817749603803487,0.07995641838351822
article_oriented_group,benefit_apparent,5.0,,nee_mcgkgmin_max,6310,6310,1906,0.3198890649762282,0.22292551505546754,0.0969635499207607,0.04576331220285262,0.16186885895404118
article_oriented_group,benefit_apparent,5.0,,icu_los_hours,6310,6310,1906,853.5173005810881,432.6207739038563,420.8965266772319,396.31038860274697,450.0620856444796
article_oriented_group,harm_apparent,5.0,,mortality_anytime,1813,1813,1259,0.46056260341974625,0.3910645339216768,0.0694980694980695,0.03750689464975179,0.09931053502482072
article_oriented_group,harm_apparent,5.0,,vm_time_hours,1171,1171,830,61.767235980643335,57.902903501280946,3.8643324793623677,-2.2843257187588955,9.901798320523763
article_oriented_group,harm_apparent,5.0,,ventilation_hours,1813,1813,1259,31.856223570509282,31.630492737635592,0.22573083287369003,-3.446025234418091,4.103948336091193
article_oriented_group,harm_apparent,5.0,,rrt_on,1813,1813,1259,0.06508549365692223,0.06287920573634859,0.002206287920573635,-0.013789299503585218,0.018753447324875896
article_oriented_group,harm_apparent,5.0,,any_vasopressor,1813,1813,1259,0.2548262548262548,0.5079977937120794,-0.2531715388858246,-0.28188086045228905,-0.22364864864864867
article_oriented_group,harm_apparent,5.0,,nee_mcgkgmin_max,1813,1813,1259,0.08162713734142306,0.14767788196359624,-0.0660507446221732,-0.08895945945945946,-0.04400661886376173
article_oriented_group,harm_apparent,5.0,,icu_los_hours,1813,1813,1259,416.2568946497518,408.88950174664456,7.3673929031071985,-23.343755745541454,34.871943371943345
article_oriented_group,neutral_apparent,5.0,,mortality_anytime,1886,1886,1077,0.3886532343584305,0.3992576882290562,-0.010604453870625663,-0.041357370095440084,0.02042682926829267
article_oriented_group,neutral_apparent,5.0,,vm_time_hours,1519,1519,858,96.63199473337723,53.40490454246215,43.22709019091507,36.46323266403335,50.681789554531484
article_oriented_group,neutral_apparent,5.0,,ventilation_hours,1886,1886,1077,52.75574407917992,28.875265111346767,23.880478967833152,19.50011709084482,28.45828362495581
article_oriented_group,neutral_apparent,5.0,,rrt_on,1886,1886,1077,0.10180275715800637,0.06521739130434782,0.036585365853658534,0.019870095440084837,0.05410922587486742
article_oriented_group,neutral_apparent,5.0,,any_vasopressor,1886,1886,1077,0.5965005302226936,0.5440084835630965,0.05249204665959703,0.020121951219512196,0.083271474019088
article_oriented_group,neutral_apparent,5.0,,nee_mcgkgmin_max,1886,1886,1077,0.25904029692470837,0.1752014846235419,0.08383881230116647,0.0017864528101802825,0.17955090137857901
article_oriented_group,neutral_apparent,5.0,,icu_los_hours,1886,1886,1077,633.3616118769884,396.12318840579707,237.23842347119123,198.84656680805938,273.86146275185575
cluster,harm_apparent,6.0,0.0,mortality_anytime,1773,1773,1234,0.45854483925549916,0.38860688099266777,0.06993795826283136,0.035800902425267914,0.10095882684715173
