covariate,smd_pre,abs_smd_pre,smd_post,abs_smd_post
bmi_min,-0.12932079811426017,0.12932079811426017,0.010770073359494065,0.010770073359494065
bmi_std,0.0,0.0,0.0,0.0
congestive_heart_failure_max,0.0819019167036046,0.0819019167036046,0.03639027382461101,0.03639027382461101
congestive_heart_failure_mean,0.0819019167036046,0.0819019167036046,0.03639027382461101,0.03639027382461101
congestive_heart_failure_median,0.0819019167036046,0.0819019167036046,0.03639027382461101,0.03639027382461101
congestive_heart_failure_min,0.0819019167036046,0.0819019167036046,0.03639027382461101,0.03639027382461101
congestive_heart_failure_std,0.0,0.0,0.0,0.0
creatinine_delta,0.13451579311732442,0.13451579311732442,0.010505732585102059,0.010505732585102059
creatinine_max,0.1608932856943018,0.1608932856943018,0.05003210028304753,0.05003210028304753
creatinine_mean,0.15673335554710147,0.15673335554710147,0.05454021397766257,0.05454021397766257
creatinine_median,0.1269224297973009,0.1269224297973009,0.03767996114442184,0.03767996114442184
creatinine_min,0.2262859640813306,0.2262859640813306,0.1922807078714192,0.1922807078714192
creatinine_post_mean,0.20717865480364558,0.20717865480364558,0.04990920167362754,0.04990920167362754
creatinine_pre_mean,0.15673335554710147,0.15673335554710147,0.05454021397766257,0.05454021397766257
creatinine_slope,0.06771387413738832,0.06771387413738832,-0.01676201764931697,0.01676201764931697
creatinine_std,0.04861960225096851,0.04861960225096851,-0.04068968104469771,0.04068968104469771
dbp_delta,-0.2585571226644932,0.2585571226644932,-0.0760560859439322,0.0760560859439322
dbp_max,-0.22247669202140616,0.22247669202140616,-0.009331101208623595,0.009331101208623595
dbp_mean,-0.2109964779137192,0.2109964779137192,-0.03274085123495479,0.03274085123495479
dbp_median,-0.1531765736392399,0.1531765736392399,-0.007775384760406827,0.007775384760406827
dbp_min,-0.22736793014995738,0.22736793014995738,-0.07902724037882057,0.07902724037882057
dbp_post_mean,-0.4905696814875164,0.4905696814875164,-0.11721405105910808,0.11721405105910808
dbp_pre_mean,-0.2109964779137192,0.2109964779137192,-0.03274085123495479,0.03274085123495479
dbp_slope,-0.1961354069496611,0.1961354069496611,-0.1046623153886724,0.1046623153886724
dbp_std,-0.23780338987974708,0.23780338987974708,-0.144428609323044,0.144428609323044
diabetes_with_cc_max,0.0551549639861391,0.0551549639861391,0.012038888406291531,0.012038888406291531
diabetes_with_cc_mean,0.0551549639861391,0.0551549639861391,0.012038888406291531,0.012038888406291531
diabetes_with_cc_median,0.0551549639861391,0.0551549639861391,0.012038888406291531,0.012038888406291531
diabetes_with_cc_min,0.0551549639861391,0.0551549639861391,0.012038888406291531,0.012038888406291531
diabetes_with_cc_std,0.0,0.0,0.0,0.0
diabetes_without_cc_max,-0.0016672003296438268,0.0016672003296438268,-0.01082619122566344,0.01082619122566344
diabetes_without_cc_mean,-0.0016672003296438268,0.0016672003296438268,-0.01082619122566344,0.01082619122566344
diabetes_without_cc_median,-0.0016672003296438268,0.0016672003296438268,-0.01082619122566344,0.01082619122566344
diabetes_without_cc_min,-0.0016672003296438268,0.0016672003296438268,-0.01082619122566344,0.01082619122566344
diabetes_without_cc_std,0.0,0.0,0.0,0.0
epinephrine_rate_mcgkgmin_max,0.10010551771472019,0.10010551771472019,0.04703162086463827,0.04703162086463827
epinephrine_rate_mcgkgmin_mean,0.0822652868250563,0.0822652868250563,0.008464645431392075,0.008464645431392075
epinephrine_rate_mcgkgmin_median,0.03504362572537558,0.03504362572537558,0.01421081578498054,0.01421081578498054
epinephrine_rate_mcgkgmin_min,0.01939190237179083,0.01939190237179083,0.01413648216133285,0.01413648216133285
epinephrine_rate_mcgkgmin_std,0.10063938704347115,0.10063938704347115,0.025439382624845207,0.025439382624845207
hba1c_max,0.0,0.0,0.0,0.0
hba1c_mean,0.0,0.0,0.0,0.0
hba1c_median,0.0,0.0,0.0,0.0
hba1c_min,0.0,0.0,0.0,0.0
hba1c_std,0.0,0.0,0.0,0.0
hba2_max,0.0,0.0,0.0,0.0
hba2_mean,0.0,0.0,0.0,0.0
hba2_median,0.0,0.0,0.0,0.0
hba2_min,0.0,0.0,0.0,0.0
hba2_std,0.0,0.0,0.0,0.0
hbs_max,0.0,0.0,0.0,0.0
hbs_mean,0.0,0.0,0.0,0.0
hbs_median,0.0,0.0,0.0,0.0
hbs_min,0.0,0.0,0.0,0.0
hbs_std,0.0,0.0,0.0,0.0
heart_rate_delta,0.14633933574135466,0.14633933574135466,0.006800490372934078,0.006800490372934078
heart_rate_max,0.16213170391224316,0.16213170391224316,0.13403432907317972,0.13403432907317972
heart_rate_mean,0.06283044968374653,0.06283044968374653,0.0371373946206854,0.0371373946206854
heart_rate_median,0.04354673592267778,0.04354673592267778,0.02047888961315287,0.02047888961315287
heart_rate_min,0.2279877055950399,0.2279877055950399,0.08560069970386744,0.08560069970386744
heart_rate_post_mean,0.19262409718753729,0.19262409718753729,0.046599361818536314,0.046599361818536314
heart_rate_pre_mean,0.06283044968374653,0.06283044968374653,0.0371373946206854,0.0371373946206854
heart_rate_slope,0.21878569529744954,0.21878569529744954,0.15674588120180755,0.15674588120180755
heart_rate_std,-0.010969320735355712,0.010969320735355712,0.03772126501757541,0.03772126501757541
hematocrit_max,0.0,0.0,0.0,0.0
