feature,stat,value,cluster,k,n_transfused,n_control
bmi_std,median,0.0,0,2,10629,3155
bmi_std,missing_rate,0.30303885596010915,0,2,10629,3155
cerebrovascular_disease_max,mean,0.11666196255527331,0,2,10629,3155
cerebrovascular_disease_max,median,0.0,0,2,10629,3155
cerebrovascular_disease_max,missing_rate,0.0,0,2,10629,3155
cerebrovascular_disease_mean,mean,0.11666196255527331,0,2,10629,3155
cerebrovascular_disease_mean,median,0.0,0,2,10629,3155
cerebrovascular_disease_mean,missing_rate,0.0,0,2,10629,3155
cerebrovascular_disease_median,mean,0.11666196255527331,0,2,10629,3155
cerebrovascular_disease_median,median,0.0,0,2,10629,3155
cerebrovascular_disease_median,missing_rate,0.0,0,2,10629,3155
cerebrovascular_disease_min,mean,0.11666196255527331,0,2,10629,3155
cerebrovascular_disease_min,median,0.0,0,2,10629,3155
cerebrovascular_disease_min,missing_rate,0.0,0,2,10629,3155
cerebrovascular_disease_std,mean,0.0,0,2,10629,3155
cerebrovascular_disease_std,median,0.0,0,2,10629,3155
cerebrovascular_disease_std,missing_rate,0.0,0,2,10629,3155
chronic_pulmonary_disease_max,mean,0.23727537868096715,0,2,10629,3155
chronic_pulmonary_disease_max,median,0.0,0,2,10629,3155
chronic_pulmonary_disease_max,missing_rate,0.0,0,2,10629,3155
chronic_pulmonary_disease_mean,mean,0.23727537868096715,0,2,10629,3155
chronic_pulmonary_disease_mean,median,0.0,0,2,10629,3155
chronic_pulmonary_disease_mean,missing_rate,0.0,0,2,10629,3155
chronic_pulmonary_disease_median,mean,0.23727537868096715,0,2,10629,3155
chronic_pulmonary_disease_median,median,0.0,0,2,10629,3155
chronic_pulmonary_disease_median,missing_rate,0.0,0,2,10629,3155
chronic_pulmonary_disease_min,mean,0.23727537868096715,0,2,10629,3155
chronic_pulmonary_disease_min,median,0.0,0,2,10629,3155
chronic_pulmonary_disease_min,missing_rate,0.0,0,2,10629,3155
chronic_pulmonary_disease_std,mean,0.0,0,2,10629,3155
chronic_pulmonary_disease_std,median,0.0,0,2,10629,3155
chronic_pulmonary_disease_std,missing_rate,0.0,0,2,10629,3155
ck_total_max,mean,432.3288173863957,0,2,10629,3155
ck_total_max,median,100.0,0,2,10629,3155
ck_total_max,missing_rate,0.0,0,2,10629,3155
ck_total_mean,mean,307.14940944662294,0,2,10629,3155
ck_total_mean,median,100.0,0,2,10629,3155
ck_total_mean,missing_rate,0.0,0,2,10629,3155
ck_total_median,mean,312.2639006491674,0,2,10629,3155
ck_total_median,median,100.0,0,2,10629,3155
ck_total_median,missing_rate,0.0,0,2,10629,3155
ck_total_min,mean,133.20058330981277,0,2,10629,3155
ck_total_min,median,100.0,0,2,10629,3155
ck_total_min,missing_rate,0.0,0,2,10629,3155
ck_total_std,mean,93.76084742441155,0,2,10629,3155
ck_total_std,median,0.0,0,2,10629,3155
ck_total_std,missing_rate,0.0,0,2,10629,3155
ckmb_max,mean,,0,2,10629,3155
ckmb_max,median,,0,2,10629,3155
ckmb_max,missing_rate,1.0,0,2,10629,3155
ckmb_mean,mean,,0,2,10629,3155
ckmb_mean,median,,0,2,10629,3155
ckmb_mean,missing_rate,1.0,0,2,10629,3155
ckmb_median,mean,,0,2,10629,3155
ckmb_median,median,,0,2,10629,3155
ckmb_median,missing_rate,1.0,0,2,10629,3155
ckmb_min,mean,,0,2,10629,3155
ckmb_min,median,,0,2,10629,3155
ckmb_min,missing_rate,1.0,0,2,10629,3155
ckmb_std,mean,,0,2,10629,3155
ckmb_std,median,,0,2,10629,3155
ckmb_std,missing_rate,1.0,0,2,10629,3155
congestive_heart_failure_max,mean,0.2762254210179697,0,2,10629,3155
congestive_heart_failure_max,median,0.0,0,2,10629,3155
congestive_heart_failure_max,missing_rate,0.0,0,2,10629,3155
congestive_heart_failure_mean,mean,0.2762254210179697,0,2,10629,3155
congestive_heart_failure_mean,median,0.0,0,2,10629,3155
congestive_heart_failure_mean,missing_rate,0.0,0,2,10629,3155
congestive_heart_failure_median,mean,0.2762254210179697,0,2,10629,3155
congestive_heart_failure_median,median,0.0,0,2,10629,3155
congestive_heart_failure_median,missing_rate,0.0,0,2,10629,3155
congestive_heart_failure_min,mean,0.2762254210179697,0,2,10629,3155
congestive_heart_failure_min,median,0.0,0,2,10629,3155
congestive_heart_failure_min,missing_rate,0.0,0,2,10629,3155
congestive_heart_failure_std,mean,0.0,0,2,10629,3155
congestive_heart_failure_std,median,0.0,0,2,10629,3155
congestive_heart_failure_std,missing_rate,0.0,0,2,10629,3155
creatinine_delta,mean,0.21230067854965062,0,2,10629,3155
creatinine_delta,median,0.0204506065857899,0,2,10629,3155
creatinine_delta,missing_rate,0.0,0,2,10629,3155
creatinine_max,mean,1.5157493649449616,0,2,10629,3155
creatinine_max,median,0.9,0,2,10629,3155
creatinine_max,missing_rate,0.0,0,2,10629,3155
creatinine_mean,mean,1.2799637170084857,0,2,10629,3155
creatinine_mean,median,0.9000000000000001,0,2,10629,3155
creatinine_mean,missing_rate,0.0,0,2,10629,3155
creatinine_median,mean,1.2966318562423556,0,2,10629,3155
creatinine_median,median,0.9,0,2,10629,3155
creatinine_median,missing_rate,0.0,0,2,10629,3155
creatinine_min,mean,0.9211026437106032,0,2,10629,3155
creatinine_min,median,0.9,0,2,10629,3155
creatinine_min,missing_rate,0.0,0,2,10629,3155
creatinine_post_mean,mean,1.4922643955581363,0,2,10629,3155
creatinine_post_mean,median,1.0155979202772905,0,2,10629,3155
creatinine_post_mean,missing_rate,0.0,0,2,10629,3155
creatinine_pre_mean,mean,1.2799637170084857,0,2,10629,3155
creatinine_pre_mean,median,0.9000000000000001,0,2,10629,3155
creatinine_pre_mean,missing_rate,0.0,0,2,10629,3155
creatinine_slope,mean,0.0009267412458748789,0,2,10629,3155
creatinine_slope,median,0.0,0,2,10629,3155
creatinine_slope,missing_rate,0.012889265217800358,0,2,10629,3155
creatinine_std,mean,0.19698448984009978,0,2,10629,3155
creatinine_std,median,0.07100602630094363,0,2,10629,3155
creatinine_std,missing_rate,0.0,0,2,10629,3155
crp_max,mean,114.89360465116278,0,2,10629,3155
crp_max,median,105.85,0,2,10629,3155
crp_max,missing_rate,0.9838178568068492,0,2,10629,3155
crp_mean,mean,111.4725638600272,0,2,10629,3155
crp_mean,median,104.90000000000053,0,2,10629,3155
