group_id,feature,smd_unweighted,smd_overlap,smd_iptw
B2,ventilation_on_mean,0.23643410517236318,0.07179937468089888,0.004282308258839403
B2,ventilation_on_median,0.26186182478706294,0.1542189956462684,0.08949760842667737
B2,ventilation_on_min,0.06637108148743039,0.26025012512701723,0.18686307719756634
B2,ventilation_on_max,0.1784544511694891,-0.25573281603812503,-0.278504784558704
B2,ventilation_on_std,0.12047832399126455,-0.3407367545828825,-0.3549530080039891
B2,ventilation_on_first,-0.12397950363756623,-0.09021935612161276,-0.11714476813959492
B2,ventilation_on_last,0.16089943911128293,0.15831883790377713,0.1343793066199215
B2,ventilation_on_delta,0.2745373120192714,0.24122833634401294,0.24166022375506194
B2,ventilation_on_slope,0.013762251407981377,0.30014135487428334,0.21843321173115923
M1,age,0.00824664759765053,-0.03746999687753721,-0.11354170636267963
M1,bmi,0.026436674675164484,0.04216983731637997,0.1535537125049533
M1,hemoglobin_mean,0.18253847426539566,0.10406107513905062,0.05986445192002115
M1,hemoglobin_median,0.15825516052125538,0.12604756577013604,0.09560580335976632
M1,hemoglobin_min,-0.06409890112797301,0.02916353048436368,-0.08005102417381678
M1,hemoglobin_max,0.5092572002099215,0.15921806162257415,0.16004071749366353
M1,hemoglobin_std,0.34717002353735427,0.11750394592024335,0.20981400334294126
M1,hemoglobin_first,0.48273488602959924,0.15668548938133722,0.14876385981172222
M1,hemoglobin_last,-0.02662368771438397,0.03965539836351706,-0.054548502280218576
M1,hemoglobin_delta,-0.48909948551012433,-0.13486997474337742,-0.1736408752507408
M1,hemoglobin_slope,0.21486124830856348,0.04099989037183844,0.08008493034174714
M1,lactate_mean,-0.009506941852732254,-0.19181637103429372,-0.11612935435430763
M1,lactate_median,-0.0539044572146247,-0.21840827737016494,-0.14439255448542
M1,lactate_min,-0.08053710249218657,-0.027637870854903043,0.03584854810562998
M1,lactate_max,0.22101412719589592,0.0016803691541221245,0.032808301410586285
M1,lactate_std,0.1153396844109471,-0.14557494950771924,-0.10640829058602051
M1,lactate_first,-0.013105863317761752,-0.045456335681563424,0.04902647049099165
M1,lactate_last,0.29155456066605934,0.2055641491980622,0.24199945613371535
M1,lactate_delta,0.3046773632866928,0.22910016591658852,0.22926523375093538
M1,lactate_slope,-0.09078356145722945,-0.07286695213744998,-0.05934926935906681
M1,creatinine_mean,-0.02982340288871073,-0.012974725806122944,0.061703707735907984
M1,creatinine_median,-0.018121081891083073,-0.009556147691104888,0.07304806821519387
M1,creatinine_min,-0.19721422430195418,-0.04421745869224629,-0.005512650674236168
M1,creatinine_max,0.007946924307820713,-0.023351590407159138,0.04893140584483743
M1,creatinine_std,0.07678946430294337,-0.047526153640014855,0.017736057490415246
M1,creatinine_first,-0.1483524037836173,-0.024316424187611256,0.048138018170096206
M1,creatinine_last,-0.008337785917945805,-0.014256249116646054,0.05837965726285172
M1,creatinine_delta,0.10903437693986864,0.0018604224730677725,0.03377819291927793
M1,creatinine_slope,-0.10003182480321851,-0.06799528947667924,-0.08157146156036038
M1,platelets_mean,-0.07764461585990895,-0.08878408685322843,-0.11311961313636211
M1,platelets_median,-0.06082187753591683,-0.06151133696448782,-0.07569733858402426
M1,platelets_min,-0.21433750030744417,-0.14711437030273108,-0.17362234451654973
M1,platelets_max,0.02731745809035631,-0.09810916389119329,-0.1184111128359266
M1,platelets_std,0.3300865964373058,0.10927904927556972,0.16493639240368368
M1,platelets_first,-0.06405851731032414,-0.14256045295293895,-0.12206608186745052
M1,platelets_last,-0.09969925167616861,-0.0688170097178471,-0.11625930368253971
M1,platelets_delta,-0.0753844173569599,0.0780818461036268,-0.02523570849339209
M1,platelets_slope,0.013754205859615766,0.06510726320828825,-0.00313140715503897
M1,heart_rate_mean,-0.13700021467971168,-0.05435645831720487,0.002670893104538791
M1,heart_rate_median,-0.16656424327483255,-0.07844029579852972,-0.03437363434573836
M1,heart_rate_min,-0.29951311019312993,0.018781530087155423,0.06239152519986886
M1,heart_rate_max,0.13065472846516574,0.02032747393194722,0.08395749302091939
M1,heart_rate_std,0.22831890576650368,-0.06520264274590874,-0.0183316438773496
M1,heart_rate_first,-0.21472842633379677,0.049711350690733694,0.06586965818312768
M1,heart_rate_last,0.018889471993988185,0.08712118431937345,0.1173316329715065
M1,heart_rate_delta,0.24104781317840238,0.05737249808129387,0.07836181440223143
M1,heart_rate_slope,-0.40429435868981417,-0.20829373036721568,-0.25847255370691535
M1,mbp_mean,-0.35712413993333,-0.10258321144052185,-0.0512825851334645
M1,mbp_median,-0.30653562421767494,-0.08264751398676533,-0.041038407922640345
M1,mbp_min,-0.5743856522396431,-0.2794964516488202,-0.26604621785204613
M1,mbp_max,-0.15029512519291643,-0.06896332176824631,-0.032541272817090884
M1,mbp_std,0.008660987412795506,0.05984709541103821,0.06369092456080336
M1,mbp_first,0.25990268207096945,0.10200875372468882,0.1839655273713879
M1,mbp_last,-0.37103321677030404,-0.16140916667150362,-0.1888363849590329
M1,mbp_delta,-0.4526983035108128,-0.18955309266058054,-0.2649150924113226
M1,mbp_slope,-0.004701363942030948,0.009085900125231508,0.01045756205988848
M1,resp_rate_mean,-0.2625120646198528,-0.09339439791105114,-0.03701080938860142
M1,resp_rate_median,-0.23897711201908617,-0.06434860906495943,-0.022441298386824002
