n,n_treated,n_control,treated_mean,control_mean,unadjusted_diff,aipw_ate,aipw_att,overlap_weighted_diff,iptw_diff,split,aipw_ate_ci95_low,aipw_ate_ci95_high,model_y0_mean,model_y1_mean,model_ite_mean,model_ite_median,prop_model_benefit,prop_model_harm,ps_min,ps_median,ps_mean,ps_max,ps_low_clip_fraction,ps_high_clip_fraction,ess_overlap_treated,ess_overlap_control,ess_iptw_treated,ess_iptw_control,treated_fraction,group_id,direction,role,name,description_pt,rule_text,balance_feature_count,max_abs_smd_unweighted,max_abs_smd_overlap,max_abs_smd_iptw,median_abs_smd_overlap,n_smd_overlap_gt_0_1,top_residual_smd_overlap
93,42,51,0.5714285714285714,0.29411764705882354,0.27731092436974786,0.37042441815405713,0.30410215993011425,0.30775386443972197,0.3649501295983446,validation,0.1723693415460097,0.5909414173610765,0.3810383546492548,0.47256862842897973,0.09153027377972482,0.07430578445173869,0.3763440860215054,0.6236559139784946,0.05,0.3864196091809024,0.37698267534045193,0.9076951829056921,0.07526881720430108,0.0,36.192156788443675,30.703883566320755,26.151237159807582,29.4117004572363,0.45161290322580644,M1,harm,primary,Rising HR + high maximum MBP,Frequencia cardiaca em ascensao com pico de pressao arterial media elevado.,heart_rate_delta > 3.905 AND mbp_max > 93,,,,,,,
1156,365,791,0.4191780821917808,0.47914032869785084,-0.059962246506070016,-0.01723931019456462,0.009401642071930727,-0.030876426691925363,-0.034017588779965746,complement,-0.09972647566431564,0.06222022309793242,0.4553946428233815,0.48171223113690503,0.026317588313523498,0.0019343412977123123,0.49653979238754326,0.5034602076124568,0.05,0.24269019397205568,0.3151295629740543,0.9327253878219487,0.24134948096885814,0.0,298.5745074969971,401.5264957237784,181.3460788587137,574.1007300658417,0.3157439446366782,M1,harm,primary,Rising HR + high maximum MBP,Frequencia cardiaca em ascensao com pico de pressao arterial media elevado.,heart_rate_delta > 3.905 AND mbp_max > 93,,,,,,,
109,52,57,0.7115384615384616,0.43859649122807015,0.2729419703103914,0.4492984609493316,0.3550002603970512,0.28596648293963156,0.3450998355626061,all,0.13972243614379776,0.7964490009667525,0.47929177768096903,0.5390165696050546,0.059724791924085543,0.06224608530252529,0.44036697247706424,0.5596330275229358,0.05,0.5140657234254313,0.47775904135344044,0.9144053980963258,0.027522935779816515,0.0,42.754969321892524,40.66545577370778,21.261453652171305,32.21878464200702,0.47706422018348627,M2,harm,sensitivity,Cardiorenal high-risk harm phenotype,Subgrupo M1 com variabilidade de creatinina elevada.,heart_rate_delta > 3.905 AND mbp_max > 93 AND creatinine_std > 0.146,101.0,0.46036010231411767,0.5010606181137018,0.6906666858823994,0.11475314154290571,57.0,age:-0.501; hemoglobin_median:0.428; mbp_mean:0.421; mbp_median:0.377; lactate_delta:0.366
78,34,44,0.6470588235294118,0.4318181818181818,0.21524064171122997,0.3720133852699531,0.2200070373679759,0.17890922986997043,0.24102014498946972,discovery,-0.03021956511164852,0.8036783933340608,0.49556843237566767,0.5629000376263062,0.06733160525063853,0.05088848845451899,0.46153846153846156,0.5384615384615384,0.05,0.49152473117750217,0.46854293317409157,0.9144053980963258,0.038461538461538464,0.0,27.749196854982674,30.006067858887757,12.495375353638439,26.487029297212306,0.4358974358974359,M2,harm,sensitivity,Cardiorenal high-risk harm phenotype,Subgrupo M1 com variabilidade de creatinina elevada.,heart_rate_delta > 3.905 AND mbp_max > 93 AND creatinine_std > 0.146,,,,,,,
31,18,13,0.8333333333333334,0.46153846153846156,0.3717948717948718,0.6437576836264779,0.609987459451971,0.5155896772618704,0.592315672868215,validation,0.24826193121359985,1.128735065836469,0.43833761425559836,0.47892268232577645,0.04058506807017802,0.0727621124871041,0.3870967741935484,0.6129032258064516,0.09646230154150612,0.5575022313670742,0.5009479587079312,0.9076951829056921,0.0,0.0,15.022132384253304,10.710933702678172,9.047137116896469,6.327585548217167,0.5806451612903226,M2,harm,sensitivity,Cardiorenal high-risk harm phenotype,Subgrupo M1 com variabilidade de creatinina elevada.,heart_rate_delta > 3.905 AND mbp_max > 93 AND creatinine_std > 0.146,,,,,,,
1375,454,921,0.40969162995594716,0.4516829533116178,-0.04199132335567063,0.00718412020787966,0.029964760301492865,-0.008805369764992688,-0.01519144146061907,complement,-0.0638614503760846,0.07775330207247501,0.4354711966873278,0.46974285150885314,0.03427165482152541,0.008285342257323192,0.488,0.512,0.05,0.2690236007142345,0.3225635198648852,0.9327253878219487,0.22618181818181818,0.0,374.4017391241625,471.95524180080736,231.98551007797997,672.8133002054537,0.3301818181818182,M2,harm,sensitivity,Cardiorenal high-risk harm phenotype,Subgrupo M1 com variabilidade de creatinina elevada.,heart_rate_delta > 3.905 AND mbp_max > 93 AND creatinine_std > 0.146,,,,,,,
219,37,182,0.6486486486486487,0.46703296703296704,0.18161568161568165,0.3053855651991113,0.33892483836787807,0.2747235694258985,0.2885898762304268,all,0.1164125185153027,0.5110948633157254,0.47773597496687126,0.6391758522058746,0.16143987723900316,0.16602120793663133,0.3059360730593607,0.6940639269406392,0.05,0.05549897536606172,0.18865841792585694,0.8944721714842548,0.4703196347031963,0.0,30.153823313906443,73.3213574664541,13.937976803964663,158.13478235801793,0.1689497716894977,M3,harm,secondary,Hemoglobin not falling,Hemoglobina sem queda relevante no periodo pre-t0.,hemoglobin_slope > -0.002,101.0,1.355352167837452,0.7846155805730918,0.5476472427348836,0.09453984711827536,47.0,any_vasopressor_delta:0.785; hemoglobin_std:0.557; any_vasopressor_first:-0.509; any_vasopressor_last:0.474; mbp_delta:-0.405
147,21,126,0.6666666666666666,0.4603174603174603,0.20634920634920634,0.3543641128423582,0.4220448065195066,0.30812440780808303,0.32687103111134314,discovery,0.09320066955845502,0.6352784071092794,0.46875443330974453,0.6448495530129571,0.1760951197032126,0.17595993789368186,0.2789115646258503,0.7210884353741497,0.05,0.05,0.17360929478962914,0.8101389007105511,0.5034013605442177,0.0,17.312371200098447,48.28174816969407,8.69889588624612,105.68788038870822,0.14285714285714285,M3,harm,secondary,Hemoglobin not falling,Hemoglobina sem queda relevante no periodo pre-t0.,hemoglobin_slope > -0.002,,,,,,,
72,16,56,0.625,0.48214285714285715,0.14285714285714285,0.20538769709414895,0.22982988016886546,0.2075346313990193,0.1744668149544475,validation,0.021994585184129466,0.3955736881295614,0.49607328918350535,0.6275920463914143,0.13151875720790898,0.13631013182595808,0.3611111111111111,0.6388888888888888,0.05,0.07511772175445554,0.21938371099565548,0.8944721714842548,0.4027777777777778,0.0,13.566018524313824,26.756788851022414,13.052702958408986,53.817761342744674,0.2222222222222222,M3,harm,secondary,Hemoglobin not falling,Hemoglobina sem queda relevante no periodo pre-t0.,hemoglobin_slope > -0.002,,,,,,,
1265,469,796,0.42430703624733473,0.4472361809045226,-0.022929144657187872,-0.006346040513275641,0.04162856225567779,-0.002790344712906123,-0.008926240527764862,complement,-0.08300090229779471,0.06797019697658077,0.43193005588502487,0.4463792215640613,0.01444916567903642,-0.00685818077304734,0.5154150197628459,0.48458498023715413,0.05,0.33302884692904394,0.35911808837626835,0.9327253878219487,0.16679841897233202,0.0,386.5261100400641,445.4290451402642,248.04423027870823,548.9525475004547,0.3707509881422925,M3,harm,secondary,Hemoglobin not falling,Hemoglobina sem queda relevante no periodo pre-t0.,hemoglobin_slope > -0.002,,,,,,,
