feature,smd_unweighted,smd_overlap,smd_iptw
resp_rate_last,-0.13794245613062855,-0.054703357014970706,-0.056552214584896565
resp_rate_delta,0.09623762108681545,-0.005561912071060139,0.046521094671878184
resp_rate_slope,-0.04352892428713861,-0.03190080160219219,-0.04782229396065931
spo2_mean,0.09870165792908804,0.06676636380110658,0.014019915222870837
spo2_median,0.13464190418815056,0.07397838106037005,0.08420789474068888
spo2_min,-0.1406259287533774,0.008546614293680732,-0.1042912652673599
spo2_max,0.39370369637555924,0.13681667564179065,0.24194604593776078
spo2_std,0.10834696112689855,-0.010579596611812896,0.13614648658082043
spo2_first,0.16414908413152654,0.10053480425742851,0.059541506767625894
spo2_last,0.05603820041080196,0.07928968295230938,-0.058020053113189494
spo2_delta,-0.08194190345761632,-0.013710658091898045,-0.09327234559749217
spo2_slope,-0.05615962421622557,-0.01853242994869734,-0.0755789370530815
sofa_mean,-0.1022314517486989,-0.1118532639485576,-0.14069588894099827
sofa_median,-0.07808435779238805,-0.10233513678918893,-0.13219565019647
sofa_min,-0.31492526980539354,-0.12248665480820711,-0.2087576806122309
sofa_max,0.02162140089280961,-0.062256650159799296,-0.0528999611209829
sofa_std,0.3581346792485548,0.054465592249554044,0.1604193923697966
sofa_first,-0.23543709676571464,-0.06791105012245495,-0.12422684597364199
sofa_last,-0.04744883775279927,-0.0735083235074778,-0.08187180340758786
sofa_delta,0.22100941538689983,-0.010705378473437136,0.04628675610415135
sofa_slope,-0.16881865483279948,-0.11212777135717689,-0.11014799526489144
any_vasopressor_mean,0.012070108603996817,-0.10964778714678468,-0.10255734992732606
any_vasopressor_median,0.005820168051805535,-0.011997282545634381,-0.0009284438582977316
any_vasopressor_min,0.0,0.0,0.0
any_vasopressor_max,0.23213868567476822,0.011253674664020146,0.02079675238412756
any_vasopressor_std,0.10950600900968317,-0.07383389079790673,-0.07141640482511263
any_vasopressor_first,0.00862438735888796,-0.01393473877626283,0.008253168731103409
any_vasopressor_last,0.16408287960019086,0.07783472011788937,0.08872919787592234
any_vasopressor_delta,0.09217850126710926,0.059569666206483574,0.04669137129043466
any_vasopressor_slope,-0.04269224587060867,-0.02376371533192744,-0.03863981510523258
ventilation_on_mean,-0.02037308803187579,-0.03098697668678497,-0.00016614450515909453
ventilation_on_median,-0.0825823573944099,-0.0546682031689913,-0.02318623902177153
ventilation_on_min,-0.2592121380045081,-0.04223343262330698,-0.02483831269410451
ventilation_on_max,0.23208202647311327,-0.0022267619810021635,0.03945129155594509
ventilation_on_std,0.3910651750037128,0.06786327881505451,0.07933509659400041
